fs_recode,laptop_recode,VEH,english_hh,single_parent,nonfamily,HINCP,HUGCL,children,good_english_speaker,multigen,NR,unmarried_partner,samesex_marriage,tenure_own
0.0,1.0,3.0,1.0,0.0,0.0,110700.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,2.0,1.0,0.0,1.0,3500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0,1.0,0.0,86000.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,17800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,65000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0,15600.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,191000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,3.0,1.0,0.0,0.0,109500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,29200.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,2.0,1.0,1.0,0.0,162000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,1.0,68700.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.0,0.0,3.0,0.0,1.0,0.0,69000.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,28200.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,3.0,1.0,0.0,0.0,29400.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,13900.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,20000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,0.0,0.0,1.0,70400.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,40000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,22000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,0.0,151300.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,10200.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,1.0,18500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,1.0,98000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,4.0,1.0,0.0,0.0,491000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,47000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,1.0,0.0,62000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,14900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,2.0,1.0,0.0,1.0,185000.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,81000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,2.0,1.0,0.0,0.0,160000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,3.0,0.0,0.0,0.0,118700.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
